"","day","month","year","flow","hyear","baseflow","date"
"783",8,8,1994,0.000481666666666667,1994,NA,1994-08-08
"784",9,8,1994,0.00049,1994,0.000433850931677019,1994-08-09
"785",10,8,1994,0.000513333333333333,1994,NA,1994-08-10
"786",11,8,1994,0.000536666666666667,1994,NA,1994-08-11
"787",12,8,1994,0.00056,1994,NA,1994-08-12
"788",13,8,1994,0.000583333333333333,1994,NA,1994-08-13
"789",14,8,1994,0.000606666666666667,1994,NA,1994-08-14
"790",15,8,1994,0.00063,1994,0.000427701863354037,1994-08-15
"791",16,8,1994,0.000975,1994,0.00042667701863354,1994-08-16
"792",17,8,1994,0.001103333,1994,0.000425652173913043,1994-08-17
"793",18,8,1994,0.00119,1994,0.000424627329192547,1994-08-18
"794",19,8,1994,0.0011,1994,0.00042360248447205,1994-08-19
"795",20,8,1994,0.00093,1994,NA,1994-08-20
"796",21,8,1994,0.00076,1994,NA,1994-08-21
"797",22,8,1994,0.00059,1994,NA,1994-08-22
"798",23,8,1994,0.00042,1994,NA,1994-08-23
"799",24,8,1994,0.00025,1994,0.00025,1994-08-24
"800",25,8,1994,0.000249515570934256,1994,NA,1994-08-25
"801",26,8,1994,0.000249031141868512,1994,NA,1994-08-26
"802",27,8,1994,0.000248546712802768,1994,NA,1994-08-27
"803",28,8,1994,0.000248062283737024,1994,NA,1994-08-28
"804",29,8,1994,0.00024757785467128,1994,NA,1994-08-29
"805",30,8,1994,0.000247093425605536,1994,NA,1994-08-30
"806",31,8,1994,0.000246608996539792,1994,NA,1994-08-31
"1049",1,5,1995,0.000128892733564014,1995,NA,1995-05-01
"1050",2,5,1995,0.00012840830449827,1995,NA,1995-05-02
"1051",3,5,1995,0.000127923875432526,1995,NA,1995-05-03
"1052",4,5,1995,0.000127439446366782,1995,NA,1995-05-04
"1053",5,5,1995,0.000126955017301038,1995,NA,1995-05-05
"1054",6,5,1995,0.000126470588235294,1995,NA,1995-05-06
"1055",7,5,1995,0.00012598615916955,1995,NA,1995-05-07
"1056",8,5,1995,0.000125501730103806,1995,NA,1995-05-08
"1057",9,5,1995,0.000125017301038062,1995,NA,1995-05-09
"1058",10,5,1995,0.000124532871972318,1995,NA,1995-05-10
"1059",11,5,1995,0.000124048442906574,1995,NA,1995-05-11
"1060",12,5,1995,0.00012356401384083,1995,NA,1995-05-12
"1061",13,5,1995,0.000123079584775087,1995,NA,1995-05-13
"1062",14,5,1995,0.000122595155709343,1995,NA,1995-05-14
"1063",15,5,1995,0.000122110726643599,1995,NA,1995-05-15
"1064",16,5,1995,0.000121626297577855,1995,NA,1995-05-16
"1065",17,5,1995,0.000121141868512111,1995,NA,1995-05-17
"1066",18,5,1995,0.000120657439446367,1995,NA,1995-05-18
"1067",19,5,1995,0.000120173010380623,1995,NA,1995-05-19
"1068",20,5,1995,0.000119688581314879,1995,NA,1995-05-20
"1069",21,5,1995,0.000119204152249135,1995,NA,1995-05-21
"1070",22,5,1995,0.000118719723183391,1995,NA,1995-05-22
"1071",23,5,1995,0.000118235294117647,1995,NA,1995-05-23
"1072",24,5,1995,0.000117750865051903,1995,NA,1995-05-24
"1073",25,5,1995,0.000117266435986159,1995,NA,1995-05-25
"1074",26,5,1995,0.000116782006920415,1995,NA,1995-05-26
"1075",27,5,1995,0.000116297577854671,1995,NA,1995-05-27
"1076",28,5,1995,0.000115813148788927,1995,NA,1995-05-28
