Date,Si,site.name
7/6/1995,1.355687085,ALBION
7/13/1995,1.15262892,ALBION
7/20/1995,0.887220945,ALBION
7/27/1995,0.864752545,ALBION
8/3/1995,0.705226905,ALBION
8/10/1995,0.462568185,ALBION
8/17/1995,0.33028548,ALBION
8/24/1995,0.30500853,ALBION
8/31/1995,0.30557024,ALBION
9/7/1995,0.39038845,ALBION
9/14/1995,0.42465276,ALBION
9/21/1995,0.414822835,ALBION
9/28/1995,0.64147282,ALBION
10/5/1995,0.473802385,ALBION
10/30/1995,0.695677835,ALBION
12/4/1995,0.700171515,ALBION
12/4/1995,0.76224047,ALBION
1/8/1996,0.84649697,ALBION
2/12/1996,0.407520605,ALBION
2/12/1996,0.40386949,ALBION
3/6/1996,1.676985205,ALBION
3/21/1996,0.24771411,ALBION
3/21/1996,0.24322043,ALBION
4/2/1996,0.766453295,ALBION
5/3/1996,0.63922598,ALBION
5/16/1996,1.220314975,ALBION
5/23/1996,1.15656089,ALBION
5/30/1996,1.02455904,ALBION
6/6/1996,1.209642485,ALBION
6/13/1996,1.303448055,ALBION
6/20/1996,0.984958485,ALBION
6/27/1996,0.818692325,ALBION
7/4/1996,0.73078471,ALBION
7/11/1996,0.39600555,ALBION
7/18/1996,0.424933615,ALBION
7/25/1996,0.50216874,ALBION
8/1/1996,0.37746912,ALBION
8/8/1996,0.407520605,ALBION
8/15/1996,0.41285685,ALBION
8/22/1996,0.428303875,ALBION
8/29/1996,0.491777105,ALBION
8/29/1996,0.494023945,ALBION
9/10/1996,0.490653685,ALBION
9/24/1996,0.687252185,ALBION
10/1/1996,0.755780805,ALBION
10/8/1996,0.66057096,ALBION
11/5/1996,0.91390217,ALBION
11/19/1996,1.186612375,ALBION
12/3/1996,1.115275205,ALBION
12/31/1996,0.62462152,ALBION
1/30/1997,0.957996405,ALBION
2/27/1997,1.248400475,ALBION
3/26/1997,1.35989991,ALBION
4/29/1997,1.515212725,ALBION
5/12/1997,1.83173631,ALBION
5/21/1997,1.88285192,ALBION
5/29/1997,1.852238725,ALBION
6/5/1997,1.920767345,ALBION
6/12/1997,1.93509095,ALBION
6/19/1997,1.334903815,ALBION
6/26/1997,1.30260549,ALBION
7/3/1997,1.18801665,ALBION
7/10/1997,1.001809785,ALBION
7/17/1997,0.91895756,ALBION
7/24/1997,0.733312405,ALBION
7/31/1997,0.71674196,ALBION
8/7/1997,0.716461105,ALBION
8/14/1997,0.82852225,ALBION
8/21/1997,0.8706505,ALBION
8/28/1997,0.96501778,ALBION
9/4/1997,0.843407565,ALBION
9/11/1997,0.883850685,ALBION
9/18/1997,1.031018705,ALBION
9/25/1997,0.925978935,ALBION
10/2/1997,0.87795273,ALBION
10/9/1997,0.88019957,ALBION
10/23/1997,1.155156615,ALBION
11/6/1997,1.07567465,ALBION
11/28/1997,1.07398952,ALBION
12/18/1997,1.26216237,ALBION
12/23/1997,1.119207175,ALBION
1/15/1998,1.062474465,ALBION
1/29/1998,1.106849555,ALBION
2/12/1998,1.042814615,ALBION
2/26/1998,1.246153635,ALBION
3/26/1998,1.20542966,ALBION
4/9/1998,1.056857365,ALBION
4/30/1998,1.127071115,ALBION
5/7/1998,1.435449905,ALBION
5/28/1998,1.414104925,ALBION
6/4/1998,1.456794885,ALBION
6/11/1998,1.45763745,ALBION
6/18/1998,1.220314975,ALBION
6/25/1998,1.21385531,ALBION
7/2/1998,1.04983599,ALBION
7/9/1998,1.057980785,ALBION
7/16/1998,0.974285995,ALBION
7/23/1998,0.95097503,ALBION
7/30/1998,0.909689345,ALBION
8/6/1998,0.98074566,ALBION
8/13/1998,0.974285995,ALBION
8/20/1998,0.90940849,ALBION
8/27/1998,0.78190032,ALBION
9/3/1998,0.710844005,ALBION
9/10/1998,0.67742226,ALBION
9/17/1998,0.695677835,ALBION
9/24/1998,0.72853787,ALBION
10/1/1998,0.7358401,ALBION
10/8/1998,0.82515199,ALBION
10/22/1998,1.57503484,ALBION
10/29/1998,1.645529445,ALBION
11/26/1998,1.441067005,ALBION
2/4/1999,1.166390815,ALBION
2/25/1999,0.77853006,ALBION
3/25/1999,1.299516085,ALBION
4/29/1999,1.413543215,ALBION
5/6/1999,1.4885315,ALBION
5/11/1999,1.61716309,ALBION
5/20/1999,1.84914932,ALBION
5/27/1999,1.89127757,ALBION
6/3/1999,1.87105601,ALBION
6/10/1999,1.842127945,ALBION
6/17/1999,1.78342925,ALBION
6/24/1999,1.91486939,ALBION
7/1/1999,1.366359575,ALBION
7/8/1999,1.22396609,ALBION
7/15/1999,1.178748435,ALBION
7/22/1999,1.069776695,ALBION
7/29/1999,1.064721305,ALBION
8/5/1999,1.086627995,ALBION
8/12/1999,1.12229658,ALBION
8/19/1999,1.18633152,ALBION
8/26/1999,1.17060364,ALBION
9/2/1999,1.16498654,ALBION
9/7/1999,1.0391635,ALBION
9/14/1999,1.33349954,ALBION
9/21/1999,1.341082625,ALBION
9/28/1999,1.32788244,ALBION
10/5/1999,1.533749155,ALBION
10/12/1999,1.05882335,ALBION
10/26/1999,1.081572605,ALBION
11/9/1999,1.18857836,ALBION
11/23/1999,1.19307204,ALBION
12/28/1999,1.164705685,ALBION
1/20/2000,1.260758095,ALBION
2/17/2000,1.21947241,ALBION
3/7/2000,1.33518467,ALBION
3/30/2000,1.37169582,ALBION
4/6/2000,1.439943585,ALBION
4/18/2000,1.515774435,ALBION
4/27/2000,1.47561217,ALBION
5/4/2000,1.50257425,ALBION
