"","site.name","LTER","year","slope","pvalue","n","sig","sig_slopes","mblm_slope","mblm_intercept","mblm_pvalue","mblm_sig","mblm_n"
"40","CH00.1M","UMR",2014,-1.32774915520722,0.0265217608084882,15,"sig",-1.32774915520722,-0.0457707481081092,90.3086811697394,0.375,"not sig",10
"41","CH00.1M","UMR",2015,-0.761084617388306,0.0144717788236217,15,"sig",-0.761084617388306,-0.0457707481081092,90.3086811697394,0.375,"not sig",10
"42","CH00.1M","UMR",2017,-2.04187018624559,0.000663650783881954,16,"sig",-2.04187018624559,-0.0457707481081092,90.3086811697394,0.375,"not sig",10
"43","CN00.1M","UMR",2015,0.832319998047688,0.00383949235860114,16,"sig",0.832319998047688,-1.14529385633764,2309.62964466432,0.25,"not sig",3
"44","CN00.1M","UMR",2016,0.717230287644322,0.0298771596318526,16,"sig",0.717230287644322,-1.14529385633764,2309.62964466432,0.25,"not sig",3
"45","CN00.1M","UMR",2017,-1.45826771462759,0.057612655840685,16,"sig",-1.45826771462759,-1.14529385633764,2309.62964466432,0.25,"not sig",3
"46","CU11.6M","UMR",2000,0.905201522703023,0.020591180523411,12,"sig",0.905201522703023,-0.844492846531501,1695.37815194302,0.25,"not sig",3
"47","CU11.6M","UMR",2004,3.01448749389559,0.0312441697790209,9,"sig",3.01448749389559,-0.844492846531501,1695.37815194302,0.25,"not sig",3
"48","CU11.6M","UMR",2007,-3.63443406368784,0.0834165369382675,14,"sig",-3.63443406368784,-0.844492846531501,1695.37815194302,0.25,"not sig",3
"49","Green Creek at F9","MCM",1998,-5.30367982369717,0.0200164254079111,5,"sig",-5.30367982369717,-0.189143746582546,377.420234190265,0.0008544921875,"sig",15
"50","Green Creek at F9","MCM",1999,-2.71997236709785,0.0446144770766147,7,"sig",-2.71997236709785,-0.189143746582546,377.420234190265,0.0008544921875,"sig",15
"51","Green Creek at F9","MCM",2002,-3.27017158186722,0.00927756962980705,4,"sig",-3.27017158186722,-0.189143746582546,377.420234190265,0.0008544921875,"sig",15
"52","Green Creek at F9","MCM",2003,-2.65064647605781,0.00881185437630436,6,"sig",-2.65064647605781,-0.189143746582546,377.420234190265,0.0008544921875,"sig",15
"53","Green Creek at F9","MCM",2004,-4.59278061686057,0.00972824026225668,7,"sig",-4.59278061686057,-0.189143746582546,377.420234190265,0.0008544921875,"sig",15
"54","Green Creek at F9","MCM",2005,-1.81297770773958,0.0461143279834565,7,"sig",-1.81297770773958,-0.189143746582546,377.420234190265,0.0008544921875,"sig",15
"55","Green Creek at F9","MCM",2007,-1.61522280739113,0.0245192757207095,7,"sig",-1.61522280739113,-0.189143746582546,377.420234190265,0.0008544921875,"sig",15
"56","Green Creek at F9","MCM",2008,-2.19582887016606,0.0398499668084033,9,"sig",-2.19582887016606,-0.189143746582546,377.420234190265,0.0008544921875,"sig",15
